Title,URL,Content
柯文哲遭爆在星密會沈慶京游淑慧9月柯曾想在新加坡開戶 政治 ,https://udn.com/news/story/6656/8446474, 鏡週刊今天報導柯文哲卸任市長前曾在新加坡密會威京集團主席沈慶京疑似海外交付賄款國民黨議員游淑慧今透露她也在9月時曾接獲情資指柯文哲曾向友人詢問新加坡會計師與開戶資訊希望在新加坡開戶  民眾黨主席柯文哲涉京華城政治獻金案羈押中游淑慧說她也在今年9月柯文哲曾向友人詢問新加坡會計師與開戶資訊希望在新加坡開戶情資不過因為議員沒有調查權所以接獲情資後9月19日也即將接獲的相關資訊提供調查局人員  柯文哲涉犯京華城等案傳出本周起訴鏡週刊今天報導柯文哲在卸任台北市長前快閃訪問新加坡曾與帶著財務助理同行的沈慶京在星國密會疑與海外交付賄款有關辦案人員正全力追查雙方會面等細節國民黨台北市議員游淑慧聯合報系資料照  選罷法吵什麼3黨立場青鳥訴求爭議一次看 整理包選罷法財劃法憲訴法 一文看懂3大法案爭議內容 時間軸砸窗比中指潑水戴頭盔立院大亂鬥發生什麼事 民眾黨主席柯文哲涉京華城政治獻金案最快本周起訴台北市長蔣萬安今被問若確定涉不法遭起訴是否一個月內撤回容積獎勵2 立法院會上周三讀財政收支劃分法修正案民進黨立委許智傑遭指控未在場揚言提告民眾黨立法院黨團總召黃國昌今天說惡意誣告無 台北地檢署偵辦京華城容積弊案傳出最快本周起訴民眾黨主席柯文哲民眾黨立法院黨團總召黃國昌今天說北檢要起訴柯文哲這個 衛福部至今未公布霸凌案調查報告民眾黨立委陳昭姿黃國昌今天召開恐怖衛福部二度霸凌幫兇現形記者會指出衛福部針對1 北市一名少女母親日前上網在社群平台Threads貼文揭露17歲女兒到麥當勞打工長期在無監視器的倉庫死角遭主管性侵十餘次為保住工作不敢反抗涉案主管還稱我富二代你告不贏少女今年11月結束生命母親心疼女兒遭受椎心之痛求助無門但誰能還她一個公道 賴清德總統今年520上任迄今7個多月桃園市長張善政其實早在2016年台南震災期間就與賴建立情誼張善政接受本報專訪談到
北檢查柯文哲金流傳陳宥丞作證配戴可錄音智慧眼鏡引關注 公視 ,https://news.pts.org.tw/article/730250, 鏡週刊今天報導柯文哲卸任市長前曾在新加坡密會威京集團主席沈慶京疑似海外交付賄款國民黨議員游淑慧今透露她也在9月時曾接獲情資指柯文哲曾向友人詢問新加坡會計師與開戶資訊希望在新加坡開戶  民眾黨主席柯文哲涉京華城政治獻金案羈押中游淑慧說她也在今年9月柯文哲曾向友人詢問新加坡會計師與開戶資訊希望在新加坡開戶情資不過因為議員沒有調查權所以接獲情資後9月19日也即將接獲的相關資訊提供調查局人員  柯文哲涉犯京華城等案傳出本周起訴鏡週刊今天報導柯文哲在卸任台北市長前快閃訪問新加坡曾與帶著財務助理同行的沈慶京在星國密會疑與海外交付賄款有關辦案人員正全力追查雙方會面等細節國民黨台北市議員游淑慧聯合報系資料照  選罷法吵什麼3黨立場青鳥訴求爭議一次看 整理包選罷法財劃法憲訴法 一文看懂3大法案爭議內容 時間軸砸窗比中指潑水戴頭盔立院大亂鬥發生什麼事 民眾黨主席柯文哲涉京華城政治獻金案最快本周起訴台北市長蔣萬安今被問若確定涉不法遭起訴是否一個月內撤回容積獎勵2 立法院會上周三讀財政收支劃分法修正案民進黨立委許智傑遭指控未在場揚言提告民眾黨立法院黨團總召黃國昌今天說惡意誣告無 台北地檢署偵辦京華城容積弊案傳出最快本周起訴民眾黨主席柯文哲民眾黨立法院黨團總召黃國昌今天說北檢要起訴柯文哲這個 衛福部至今未公布霸凌案調查報告民眾黨立委陳昭姿黃國昌今天召開恐怖衛福部二度霸凌幫兇現形記者會指出衛福部針對1 北市一名少女母親日前上網在社群平台Threads貼文揭露17歲女兒到麥當勞打工長期在無監視器的倉庫死角遭主管性侵十餘次為保住工作不敢反抗涉案主管還稱我富二代你告不贏少女今年11月結束生命母親心疼女兒遭受椎心之痛求助無門但誰能還她一個公道 賴清德總統今年520上任迄今7個多月桃園市長張善政其實早在2016年台南震災期間就與賴建立情誼張善政接受本報專訪談到
聯合報黑白集柯文哲八傷拳  社論 評論 聯合新聞網,https://udn.com/news/story/7338/8442598,民眾黨主席柯文哲中遞送黨主席辭職信給民眾黨秘書長周榆修圖本報資料照片金庸武俠小說有一招七傷拳傷人七分傷己三分非到生死關頭絕不輕易出手搶在京華城等案偵結前民眾黨主席柯文哲請辭黨魁結果恐自斷經脈對手毫髮無傷政壇戲稱為八傷拳柯文哲自宮民眾黨重傷比七傷拳的內傷更嚴重  柯文哲獄中出招理由是不讓當局以冗長法律程序干擾民眾黨的發展其實也是切割止血卻可能提前將民眾黨送進加護病房北院搶先宣告柯文哲請辭生效法官挨批操之過急民眾黨中央則採拖字訣沒人敢簽署放棄急救同意書  柯文哲請辭黨魁並非空穴來風早在十一月延長羈押前代理黨魁之爭就曾浮上檯面立院民眾黨團總召黃國昌呼聲高柯文哲指定的中央委員林富男也是可能人選之一講白了黨內有一派人馬就是擔心黃國昌割韭菜小黨向來內鬥內行挺黃派和反黃派磨刀霍霍民眾黨山雨欲來  為避免茶壺風暴民眾黨稱尚未收到請辭書柯文哲就是黨主席柯文哲請辭本意是搶救民眾黨卻可能被解讀為大勢已去小草枯萎民眾黨能拖就拖但柯文哲的八傷拳後勁十足悶鍋蓋愈久遲早會炸鍋  柯文哲一個人的武林左右民眾黨存亡一人或一黨之興衰不足為惜就怕連累第三勢力成為笑話重演藍綠惡鬥才是八傷拳最大的殺傷力 立法院昨天行使大法官人事同意權投票賴總統提名的七位人選全數遭到否決一個也未通過這項結果原在意料之中但驚奇的是民 立法院財劃法修正案過關調整了所得稅及營業稅分配比重在野黨一舉為各縣市討回三千七百多億元經費使中央地方稅收分配 聯合報十九日摘刊總統府前秘書長李大維撰寫中的省思錄討論台灣如何因應川普20李大維透露了一段蔡政府時期台美高層互動的 新財劃法將三千多億元分配款分給地方各縣市多了自主運用的財源都很開心但也有少數例外高雄市長陳其邁就直言對高雄 立法院通過憲訴法選罷法和財劃法修法綠營一片崩潰賴總統更說民主的紛爭要用更大的民主來解決這種把民主分大小 金庸武俠小說有一招七傷拳傷人七分傷己三分非到生死關頭絕不輕易出手搶在京華城等案偵結前民眾黨主席柯文哲請辭
柯文哲案傳近日起訴北市若違法容積獎勵恐被撤銷 政治 要聞 聯合 ,https://udn.com/news/story/6656/8446308,京華城案容積疑涉不法台北市前市長柯文哲遭羈押至今外界傳出檢方近日起訴議會今天審議都發局預算也關心行政調查進度都發局表示目前府級已成立專案小組待起訴書出來後若該案具決策權者有涉案2周內小組就會開第一次會若順利有結論認定該容積違法最快一個半月內該容積獎勵就會被撤銷  議會工務委員會今天針對都發局都委會暫擱預算二輪審議召集人民進黨議員許淑華表示各界傳聞京華城案檢方將於明天起訴市府目前行政處理程序到哪裡未來若起訴是否能夠加速相關程序  都發局長簡瑟芳表示目前府級已組成專案小組由副市長李四川擔任召集人成員包含政風處法務局都發局建管處以及一位專家學者並會視議題邀請專家學者  簡瑟芳說若起訴書出來對象內容若涉及京華城在都市計畫決策過程有涉及違法就會在2周內舉行會議針對都市計畫適法性做討論如果確定涉案人對於適法性有影響原來核定的細部計畫就應駁回若涉及違法建管處就會依建築法規定停止施工至於回到哪個程序也會在會議做討論  議員苗博雅質疑監察院已經糾正京華城容積案有違失市府態度就是要等到起訴書出來才會去做處理若起訴罪名中包含貪污治罪條例圖利罪收賄罪不用等判決確定就會立刻處理苗認為起訴書最晚下月5日一定會出來也是市民最後底線市府不應再拖下去要立即啟動調查  簡瑟芳回應目前處理過程中包含監察院糾正及國土署對於都市計畫相關指導都沒有明確說京華城引用都計法第24條是違法加上行政機關無法針對貪污圖利與否來調查才需檢方起訴書判斷在該案具有決策權者有涉案都市計畫適法性就有疑慮就會啟動會議  許淑華詢問是否都委會前執秘邵琇珮前都發局長黃景茂前副市長彭振聲前市長柯文哲被起訴市府就會啟動會議討論簡瑟芳回應是許淑華詢問起訴書出來後多久可以確認京華城容積是否要收回簡瑟芳表示起訴書出來兩周內一定會召開第一次會議若第一次就有結論應該是一個月內簽市府把這個都市計畫給撤銷  選罷法吵什麼3黨立場青鳥訴求爭議一次看 整理包選罷法財劃法憲訴法 一文看懂3大法案爭議內容 時間軸砸窗比中指潑水戴頭盔立院大亂鬥發生什麼事 民眾黨主席柯文哲涉京華城政治獻金案最快本周起訴台北市長蔣萬安今被問若確定涉不法遭起訴是否一個月內撤回容積獎勵2 立法院會上周三讀財政收支劃分法修正案民進黨立委許智傑遭指控未在場揚言提告民眾黨立法院黨團總召黃國昌今天說惡意誣告無 台北地檢署偵辦京華城容積弊案傳出最快本周起訴民眾黨主席柯文哲民眾黨立法院黨團總召黃國昌今天說北檢要起訴柯文哲這個 衛福部至今未公布霸凌案調查報告民眾黨立委陳昭姿黃國昌今天召開恐怖衛福部二度霸凌幫兇現形記者會指出衛福部針對1 北市一名少女母親日前上網在社群平台Threads貼文揭露17歲女兒到麥當勞打工長期在無監視器的倉庫死角遭主管性侵十餘次為保住工作不敢反抗涉案主管還稱我富二代你告不贏少女今年11月結束生命母親心疼女兒遭受椎心之痛求助無門但誰能還她一個公道 賴清德總統今年520上任迄今7個多月桃園市長張善政其實早在2016年台南震災期間就與賴建立情誼張善政接受本報專訪談到
柯文哲政治獻金不給補正監院未委任無權代理 政治 中央社CNA,https://www.cna.com.tw/news/aipl/202412230292.aspx,中央社記者高華謙台北23日電民眾黨陷政治獻金申報不實風波民眾黨秘書長周榆修說監察院以他非當事人而不讓他補正監察院回應會計報告書申報義務人是擬參選人柯文哲吳欣盈任何人如未提具當事人委任書就無權代理行政行為 外界質疑民眾黨主席柯文哲總統大選政治獻金申報不實檢調已介入調查監察院也派員查核 周榆修上午接受廣播節目嗆新聞主持人黃揚明專訪時說民眾黨查完了結果監察院叫我們等他10月1日發函給監察院監察院11月27日回文指周榆修不是當事人而不讓他補正質疑監察院意思就是等我覺得你可以報了你再來 監察院回應針對民眾黨函詢113年總統副總統選舉擬參選人柯文哲吳欣盈政治獻金會計報告書更補正申請作業一事依政治獻金查核準則規定監察院查核政治獻金收支情形是以此案8月12日查核程序開始時資料為準這項規定是為避免申報人在申報後不斷更正會計報告書導致查核標的無法確定的爭議 監察院說監察院廉政委員會已在11月會議決議函復民眾黨應等查核結案後再通知當事人補正 監察院表示因會計報告書的申報義務人是擬參選人柯文哲吳欣盈任何自然人或法人如果未提具當事人明確授權範圍的委任書就無權代理申報義務人進行相關行政行為且10月柯文哲已因案被羈押並禁止通信經查沒有委託情事發生 監察院說民眾黨10月4日寄達一份函文指會計報告書有誤報漏報虛報情形並函請監察院告知如何進行後續補正流程與相關作業方式民眾黨除了未檢附任何資料文件也沒有提出委任狀以證明代理權 監察院表示依公文流程已於11月27日函復說明政治獻金法規定若有應補正事項等查核結案後將限期專戶申報人辦理且申報人屆時如果有委託民眾黨辦理相關事宜應提出委託書憑辦編輯楊凱翔1131223 本網站之文字圖片及影音非經授權不得轉載公開播送或公開傳輸及利用
柯文哲涉賄未爆彈 快閃新加坡成關鍵 ETtoday社會新聞 ,https://www.ettoday.net/news/20241224/2879348.htm, 民眾黨主席柯文哲涉京華城魚果市場等6大弊案本週起訴京華城及政治獻金2大案最重判無期徒刑圖鏡週刊提供下同 圖文鏡週刊 民眾黨主席柯文哲貪汙弊案本週起訴本刊接獲爆料柯在卸任台北市長前快閃訪問新加坡曾與帶著財務助理同行的沈慶京在星國密會疑與海外交付賄款有關辦案人員正全力追查雙方會面等細節一旦屬實將成為全案的未爆彈 此外台北地檢署上週除了對京華城及政治獻金案進行補強也著手對新光集團得標的北士科南港轉運站案以及中工集團承作的魚果市場案與台智光等4案發動偵查柯至今雖否認犯罪但疑似在星國收賄及涉犯的貪汙等6大案恐讓他力爭交保停押的希望落空  沈慶京2022年12月15日與柯文哲同一天入境新加坡疑涉海外交賄款圖為他回台隔週向本刊暢談市值千億元的京華城改建案 本刊調查檢廉追查柯文哲所涉弊案一直在勾稽收賄金流沈慶京除了假政治獻金真行賄以及在市長室交付現金外很可能還在海外交錢地點包括新加坡等檢廉透過入出境資料及駐外單位清查已掌握兩人在海外可能碰面的事證  柯文哲被爆料2022年12月卸任市長前涉利用出訪新加坡與沈慶京在海外見面交收賄款 據傳兩人在新加坡密會柯文哲也帶橘子隨行沈慶京則由財務助理黃婕穎陪同本刊掌握2022年12月15日柯卸任台北市長前訪問新加坡考察當地的雙語教育及智慧城市數位大使同行有教育局副局長陳素慧發言人陳智菡等15人貼身帳房許芷瑜的確也在官方公布的出訪名單中  柯文哲2022年底率團參訪新加坡貼身帳房橘子許芷瑜也在出訪名單上她涉錢及收賄遭通緝 巧合的是柯文哲出訪星國前北市府2022年10月18日才剛核發京華城容積率840建照本刊亦曾披露同年11月柯即在市長室及京華廣場工地收受1500萬元賄款之後柯沈同時出現在新加坡是否為了後謝在海外開戶交款已成檢廉追查重點 鏡週刊提醒您任何人在依法被判決有罪確定前均應推定為無罪 更多鏡週刊報導封面故事偵查終結u3000檢追星國密會沈慶京疑收賄u3000柯文哲身陷六大弊案柯陷六大弊案1檢廉查出逾12度密會小沈u3000柯文哲起訴後還要面對4大案柯陷六大弊案2真巧柯與小沈快閃新加坡u3000橘子回台也在ATM存現金 分享給朋友 追蹤我們 本文版權所有非經授權不得轉載 ETtoday著作權聲明  新竹市一名楊姓60歲婦人22日與兩名女兒同遊北埔怎料突然不醒人事幸好遇到熱心路人協助CPR消防人員在現場電擊3次後恢復脈搏目前生命徵象穩定於醫院治療中兩名女兒於新竹地區的臉書社團寫下感激之情消防局也希望能找尋協助急救的男子頒發感謝狀予以肯定 文里補習班開課啦用營養的甜點帶來幸福的笑容而且免烤箱喔 平安夜名床打造黑科技體驗隨意調角度舒壓按摩超舒適為健康與享受省下大筆開銷 ETtoday攝影棚提供完整設施與高品質服務提供創作者最佳支援滿足你各種拍攝需求 想提升技能卻沒時間專業師資精心設計每門課程讓你隨時隨地都可以學習 點擊右上角的星星追蹤ETtoday讓你一手掌握最即時的時事焦點輕鬆成為話題大師 免費訂閱ETtoday電子報
傳明起訴柯文哲陳佩琪哽咽排字平安回家我希望有個完整的家 ,https://www.ettoday.net/news/20241224/2879998.htm, 記者袁茵台北報導 民眾黨主席柯文哲因京華城弊案遭羈押禁見至今日前傳出北檢將於25日聖誕節當天起訴外界高度關注而就在24日平安夜當晚柯文哲妻子陳佩琪與民眾黨組織部副主任林昭印等人一同到自由廣場排下平安回家FREE KP字樣陳佩琪也激動哽咽喊話希望柯文哲可以平安回家我希望有個完整的家 由於京華城案第一個被羈押禁見的國民黨台北市議員應曉薇將於12月28日羈押期滿因此本案將於27日前全案偵結而日前有媒體報導指稱北檢考量12月24日正逢立法院行使大法官同意權為避免捲入政治風暴或引發民眾黨不必要報復所以最有可能公告起訴的時間點為25日  民眾黨主席柯文哲的妻子陳佩琪於24日平安夜現身自由廣場與民眾黨組織部副主任林昭印等人一同排出平安回家Free KP文字圖翻攝自Facebook林昭印 面對坊間不斷傳出北檢將於25日起訴林昭印等人於24日晚上到自由廣場進行平安夜排字活動邀請陳佩琪也一同參與並且排出了平安回家FREE KP文字被問到為何在平安夜發起此活動林昭印表示支持者發起過很多場活動僅是今天剛好到中正紀念堂 至於排平安回家但外傳柯文哲明天恐被起訴林昭印提及今天陳佩琪也有到現場願望是希望柯文哲能夠平安回家已經押了4個月目前為止也找了很多金流專家但有沒查到金流所以希望在證據都查完起訴書也寫好了的情況下應該讓柯文哲可以回家好好休息 針對若北檢明起訴柯文哲民眾黨會不會有特殊行動林昭印回應還是要先看起訴內容全國全世界都很關心起訴書內容要等起訴書出來後才會針對內容去做解釋與反擊 而陳佩琪也透過直播向網友表示今天是聖誕夜也是平安夜祝福大家都闔家平安全家人都能夠聚在一起過平安夜而自己今天會來這裡就是希望把願望透過小草的燈光排出來 話說到一半陳佩琪開始哽咽說我希望民眾黨主席我的先生柯文哲能夠平安回家KP能夠FREE自由我希望他能夠出來繼續領導我們民眾黨也是回家能陪我過聖誕節過年 陳佩琪稱今天小草表現出對柯文哲的支持而自己大概只排了一個家字這是我最重視的我希望有個完整的家而她也在聖誕樹下擺了禮物跟聖誕襪希望柯文哲回來之後她能夠給柯 陳佩琪與林昭印等人排出平安回家Free KP祈福文字圖林昭印提供  分享給朋友 追蹤我們 本文版權所有非經授權不得轉載 ETtoday著作權聲明  民眾黨主席柯文哲深陷京華城案政治獻金案又被鏡週刊爆料他在2022年卸任前曾快閃訪問新加坡並與帶著財務助理同行的沈慶京在星國密會疑與海外交付賄款有關對此國民黨台北市議員游淑慧透露她在今年9月時就已接獲情資當時柯文哲曾向友人詢問新加坡會計師與開戶資訊理由是小孩未來可能有就學需要 文里補習班開課啦用營養的甜點帶來幸福的笑容而且免烤箱喔 平安夜名床打造黑科技體驗隨意調角度舒壓按摩超舒適為健康與享受省下大筆開銷 ETtoday攝影棚提供完整設施與高品質服務提供創作者最佳支援滿足你各種拍攝需求 想提升技能卻沒時間專業師資精心設計每門課程讓你隨時隨地都可以學習 點擊右上角的星星追蹤ETtoday讓你一手掌握最即時的時事焦點輕鬆成為話題大師 免費訂閱ETtoday電子報
柯文哲涉收賄又有未爆彈帶橘子快閃新加坡密會沈慶京成關鍵 ,https://newtalk.tw/news/view/2024-12-24/950109,通知 尚未有任何通知趕快去參與討論吧 Hi 無暱稱 Hi 無暱稱 ID ID 相關連結 Newtalk新聞柯文哲涉收賄又有未爆彈帶橘子快閃新加坡密會沈慶京成關鍵 發布 20241224 0929 目前設定 目前設定 目前設定 柯文哲被爆料2022年12月卸任市長前涉嫌利用出訪新加坡與沈慶京在海外見面交收受賄款xa0xa0xa0圖台北市政府提供 前台北市長民眾黨主席柯文哲涉入京華城案及政治獻金假帳案等多項貪汙弊案檢方本週將起訴鏡週刊再度爆料柯文哲在卸任台北市長前快閃訪問新加坡曾與帶著財務助理同行的威京集團主席沈慶京在新加坡密會疑似與海外交付賄款有關辦案人員正全力追查雙方會面等細節一旦屬實將成為全案的未爆彈 根據鏡週刊報導台北地檢署上週除了對京華城及政治獻金案進行補強也著手對新光集團得標的北士科南港轉運站案以及中工集團承作的魚果市場案與台智光等4案發動偵查柯文哲至今雖仍否認犯罪但疑似在新加坡收賄及涉犯的貪汙等6大案恐讓他力爭交保停押的希望落空 報導提到經鏡週刊調查檢廉追查柯文哲所涉及的多項弊案期間一直在勾稽收賄金流沈慶京除了假政治獻金真行賄以及在台北市政府市長室交付現金外很可能還在海外交錢地點包括新加坡等檢廉透過入出境資料及駐外單位清查已掌握兩人在海外可能碰面的事證據傳兩人在新加坡密會柯文哲也帶貼身帳房橘子許芷瑜隨行 報導指出沈慶京則由財務助理黃婕穎陪同鏡週刊掌握2022年12月15日柯文哲卸任台北市長前訪問新加坡考察當地的雙語教育及智慧城市數位大使同行有台北市政府教育局副局長陳素慧台北市政府發言人陳智菡等15人許芷瑜的確也在官方公布的出訪名單中許芷瑜的回國後也多次利用ATM存現金 報導續指巧合的是柯文哲出訪新加坡前北市府2022年10月18日才剛核發京華城容積率840建照鏡週刊亦曾披露同年11月柯文哲即在台北市政府市長室及京華廣場工地收受1500萬元賄款之後柯文哲橘子沈慶京同時出現在新加坡是否為了後謝在海外開戶交款已成檢廉追查重點 Loading 0000 0000 播放速度 播放列表 柯文哲涉收賄又有未爆彈帶橘子快閃新加坡密會沈慶京成關鍵 0000 台股開紅大盤漲逾126點 分析師台積領漲挑戰12月初高點 0000 週刊爆柯文哲和沈慶京密會12次  她驚呼比跟陳佩琪約會次數還多 0000 快訊大法官人事投票團進團出u3000民眾黨團僅放行1人先不公布人名 0000 大法官人事今表決 時力等5政黨及11民團聲明藍白勿癱瘓憲法法庭 0000 耶誕行情登場大型科技股領漲美股全面收漲台積電ADR漲逾5 0000 防範俄國威脅 波蘭14到16歲學童全面必修槍械與急救 0000 平安夜回暖午後水氣減少雨勢趨緩 週五冷氣團南下襲台下探11度 0000 研究美民主黨問題很大 連支持者都說該黨太重菁英太左 0000 藍白強推爭議3修正案 青鳥究責濫權立委行動首站桃園發起罷免連署 0000 安倍夫人帶來正面消息矢板明夫川普絕不會允許中國對台動武 0000 美對中國祭新調查洗衣機汽車用等成熟製程晶片恐徵收更多關稅 0000 楊宏基觀點潛艦國造正因為重要茲事體大 所以更該分階段步步為營 0000 準備對付台灣美媒中國訂購百萬架自殺無人機 2026前交貨 0000 反對公糧收購每公斤調高5元農民代表將抬高成本倉儲壓力過大 0000 今年首例雲林爆禽流感疫情 防疫所急撲殺5000隻土雞 0000 影北美貿易戰煙硝味濃 加國威脅將斷美燃料 墨國要加徵美關稅 0000 文字獄再起 在台海棠文學城發布文章 中多名耽美小說作者被跨省抓捕判刑 0000 影 北韓上將國葬影片曝光 傳援俄總指揮金英福陣亡 金正恩親自送行 0000 遇疫情轉型小鲜肉買下兩座養豬場 自養自銷獲產銷履歷認證 0000 Talk新聞滿意度 請問您對於Talk新聞語音新聞的滿意度如何 感謝您寶貴的意見成為Newtalk進步的動力 Tag     留言 喜歡 不喜歡 唐復年 20241225 1111 管仁健 20241224 2211 蔡明芳 20241224 1239 楊宏基 20241223 1921 孫家銘 20241223 1450 圖庫中的第  more  more  請注意 說明文字
柯文哲政壇安樂死迫續命前民眾黨主任開酸高層無比噁心 ,https://news.tvbs.com.tw/politics/2726148,點擊關閉或任一空白處繼續閱讀新聞 追蹤我們掌握最新動態 人氣點閱榜 今日頭條 打工遭侵犯麥當勞少女剪男生頭u3000母淚曝怕再被性侵 挨轟賣台亡國戰犯劉靜怡嗆提名的賴總統也有叛國之嫌 台中水電工喪倉儲惡火u3000媽告別式癱軟心碎不語 分享至 小 中 大 民眾黨主席柯文哲因捲台北京華城容積率弊案在今年9月5日時遭台北地方法院裁定羈押禁見至今柯文哲為此已於本月16日透過律師具狀聲請將辭職聲明交給民眾黨秘書長周榆修但在經過民眾黨緊急應變會議後卻僅回應尚未收到書信對此民眾黨基隆市前安樂區主任劉韋巡忍不住批評黨內高層此舉根本是在強迫續命針對柯文哲透過律師具狀聲請將辭職聲明轉交給周榆修一事民眾黨昨21日下午已召開了緊急應變會議但在經過了2個半小時的討論後民眾黨最終僅強調尚未收到書信並重申柯文哲依然是黨主席眾人繼續全力支持他的立場也不會改變 TVBS新聞提醒您未經判決確定應推定為無罪 十大熱門新聞回顧你不能錯過的年度大事年度永續議題從電費到颱風該如何適應下載TVBS新聞APP最新消息不漏接   生活情報即時接收 年末好運來敲門iPhone等你帶回家 驚開車聽這些耶誕歌事故率暴增 林襄揭男友最加分與NG開車行為 柯文哲羈押禁見 看更多 分享 分享 連結 留言 訂閱 你可能會喜歡 人氣點閱榜
柯文哲傳聖誕節起訴 市議員秀公文打臉新加坡快閃  ETtoday ,https://www.ettoday.net/news/20241225/2880068.htm, 記者葉國吏綜合報導 民眾黨主席柯文哲傳出檢調將在今天聖誕節起訴引起各界關注週刊報導柯文哲曾跟沈慶京在新加坡會面收賄民進黨北市議員簡舒培對此表示自己當時就公開質疑現在回頭看果然有詭 簡舒培24日在臉書發文柯文哲起訴在即今天媒體接獲爆料柯文哲2022年12月卸任前赴新加坡聲稱要透過2天1夜的快閃行程來考察雙語教育及智慧城市數位大使同行的15人當中就包括目前仍潛逃海外的貼身帳房許芷瑜而就在柯文哲出訪新加坡當天威京集團主席沈慶京也帶著財務助理一起前往新加坡且柯文哲出訪回台後許芷瑜也跟陳佩琪一樣多次利用ATM存現金兩人行程的高度重合也被質疑與京華城案賄款有關  民眾黨主席柯文哲圖記者黃國霖攝 簡舒培表示柯文哲在2022年12月10日宣佈在12月15日16日前往新加坡考察而針對突如其來的考察行程柯文哲還瞎掰說是一年前就排定了結果當下就被我秀出公文打臉因為柯市府在12月6日還回覆我在柯文哲卸任前除了出訪沖繩之外本府各局處目前暫無市長國外出訪相關規劃 現在看來柯文哲這麼急著要去新加坡為的根本不是市政也不僅僅是畢業旅行而是跟沈慶京之間的秘密交易而最荒唐的是柯文哲跑到海外收賄款居然還不願意自己花機票錢去而是花市府88萬公帑假考察真收賄 簡舒培最後直言距離柯文哲起訴只剩下幾十個甚至是十幾個小時的時間民眾黨再怎麼嘴硬也無法阻擋叮叮噹叮叮噹阿北就要抓去關的事實 未經判決確定應視為無罪  分享給朋友 追蹤我們 本文版權所有非經授權不得轉載 ETtoday著作權聲明  民眾黨主席柯文哲因京華城弊案遭羈押禁見至今日前傳出北檢將於25日聖誕節當天起訴外界高度關注而就在24日平安夜當晚柯文哲妻子陳佩琪與民眾黨組織部副主任林昭印等人一同到自由廣場排下平安回家FREE KP字樣陳佩琪也激動哽咽喊話希望柯文哲可以平安回家我希望有個完整的家 文里補習班開課啦用營養的甜點帶來幸福的笑容而且免烤箱喔 平安夜名床打造黑科技體驗隨意調角度舒壓按摩超舒適為健康與享受省下大筆開銷 ETtoday攝影棚提供完整設施與高品質服務提供創作者最佳支援滿足你各種拍攝需求 想提升技能卻沒時間專業師資精心設計每門課程讓你隨時隨地都可以學習 點擊右上角的星星追蹤ETtoday讓你一手掌握最即時的時事焦點輕鬆成為話題大師 免費訂閱ETtoday電子報
